INFO     | 2026-05-16 17:53:15,166 | FILECACHE                | FileMetadataCache updated for file [3DBenchy_PLA_25m51s.gcode]; est time: 1551.0, size: 3958, filament usage: 3527, gcode bytes: 125602-4031773
INFO     | 2026-05-16 17:53:15,223 | PRINT                    | Removing all print infos
INFO     | 2026-05-16 17:53:15,244 | CLIENT                   | RepeatTimer thread exit
INFO     | 2026-05-16 17:53:15,247 | CLIENT                   | New print started; PrintId: 6f0a6d8578dc43f3aeb33a8ac7e829f4 file:3DBenchy_PLA_25m51s.gcode size:3958 filament:3527
INFO     | 2026-05-16 17:53:15,249 | CLIENT                   | Reusing cached notifications for 3DBenchy_PLA_25m51s.gcode
INFO     | 2026-05-16 17:53:15,609 | CLIENT                   | Sending started ({'print_id': '6f0a6d8578dc43f3aeb33a8ac7e829f4', 'file_name': '3DBenchy_PLA_25m51s.gcode', 'file_path': '3DBenchy_PLA_25m51s.gcode', 'FileSizeKb': '3958', 'FilamentUsageMm': '3527', 'FilamentWeightMg': '0', 'Event': 'started', 'time_remaining_sec': '-1', 'CurrentLayer': '0', 'TotalLayers': '0', 'progress_percent': '0', 'duration_sec': '0.3838064670562744'})
INFO     | 2026-05-16 17:53:15,610 | CLIENT/SENDER            | Preparing notification for started
INFO     | 2026-05-16 17:53:15,611 | CLIENT/SENDER            | Finding targets for event=started
INFO     | 2026-05-16 17:53:15,619 | CLIENT/SENDER            | Sending notification: {"targets": [{"fcmToken": "cL53-WiGS2qbWjZUJoPuYH:APA91bHXXzbN1KiTmwens_hhJQxIP-6VLBnLZskwSg5_r3o55XXQiLzzyy5alzcfUx5myKowjlG_k-4KKcnkyaMvbxUrR4zCF3VxNJmdnA539hhRwOobpjg", "fcmTokenFallback": null, "instanceId": "6eab08df-4abe-4d64-b361-2c96bd61e4fd"}, {"fcmToken": "etQCcpSvRaCjjPGvjmlkUg:APA91bFAgfdshIaF30W2Yzy76l9WNqDAjc01VUP8bR_Jff_BY0SV4kZ_T3vPG2-z-cCztE9MwzAdv9yYo367RzzC8-AvFHdy4aURXxZkS3tVR1OaM8kRzWw", "fcmTokenFallback": null, "instanceId": "6eab08df-4abe-4d64-b361-2c96bd61e4fd"}], "highPriority": true, "androidData": "uqaYwzh+JhT5VF8shBW4AQCH8f1emg0cQovMB/XHYiCfAHp3ua2rK2m1m7N/cS2Z137jAtUZpr1vtBb35QHCTJKJHnP1ETgm1FCG14PbyGdNudGj5MipkEd5M9lQPMa7JRic9Cab5VNdASI9HD+FlWcObty783lnK7F5OmW3eS3T21wiQa0DfB5r2hxCyr+UBvnq0KZYTWMaS14REMKlEUdiJfTrrPnFnRrbNeFzQbIijAqMNvRlvleXZipTJtq0BICGRPYJdY8LGlIHh3a5kbSTzWAaGhokN/qNGtDprXAjg8PZBVt0lg96NzrB+8TNtJ0WFLsQZ66x0jmimKqA8A==", "apnsData": null}
INFO     | 2026-05-16 17:53:15,860 | CLIENT                   | Sending resume ({'Event': 'resume', 'time_remaining_sec': '-1', 'CurrentLayer': '0', 'TotalLayers': '0', 'progress_percent': '0', 'duration_sec': '0.6352505683898926'})
INFO     | 2026-05-16 17:53:15,861 | CLIENT/SENDER            | Preparing notification for resume
INFO     | 2026-05-16 17:53:15,862 | CLIENT/SENDER            | Finding targets for event=resume
